Data; deflator implícito - var. anual - (% a.a.) ;;;;;
1970; 0.00000000 ;;;;;
1971; 0.00000000 ;;;;;
1972; 0.00000000 ;;;;;
1973; 0.00000000 ;;;;;
1974; 0.00000000 ;;;;;
1975; 0.00000000 ;;;;;
1976; 0.00000000 ;;;;;
1977; 0.00000000 ;;;;;
1978; 0.00000000 ;;;;;
1979; 0.00000000 ;;;;;
1980; 0.00000000 ;;;;;
1981; 0.00000000 ;;;;;
1982; 0.00000000 ;;;;;
1983; 0.00000000 ;;;;;
1984; 0.00000000 ;;;;;
1985; 0.00000001 ;;;;;
1986; 0.00000004 ;;;;;
1987; 0.00000011 ;;;;;
1988; 0.00000081 ;;;;;
1989; 0.00001140 ;;;;;
1990;0.000323176;;;;;
1991;0.001669778; 1,039,403,429,945 ; 62,248,001,228,007,600 ;;;
1992;0.017850138;;;;;
1993;0.374165734;;;;;
1994;8.756110026;;;;;
1995;16.98493088;;;;;
1996;20.11971112;;;;;
1997;21.67476831;;;;;
1998;22.74211227;;;;;
1999;24.56386937;;;;;
2000;25.94093589; 6,346,228,410 ; 24,464,145,923 ;;;
2001;28.07460234;;;;;
2002;30.82538338;;;;;
2003;35.16899479;;;;;
2004;37.89531664;;;;;
2005;40.71140279;;;;;
2006;43.46930481;;;;;
2007;46.2683099;;;;;
2008;50.32999788;;;;;
2009;54.01087359;;;;;
2010;58.56039222; 15,888,752,585 ; 27,132,250,968 ;;;
2011;63.43179245;;;;;
2012;68.47026024;;;;;
2013;73.60865511;;;;;
2014;79.38451262;;;;;
2015;85.39088378;;;;;
2016;92.31062315;900;974.969044;;;
2017;95.69970108;950;992.6885761;;;
2018;100;1000;1000;;;
2019;104.2805051;;;;;
2020;109.2915989;;;;;
